Coin_ID,Model,Observations,R_Squared,Adj_R_Squared,Alpha,Alpha_t_stat,Beta_R_MKT,t_stat_R_MKT,Beta_CSMB,t_stat_CSMB,Beta_CLMW,t_stat_CLMW,Beta_CIHML,t_stat_CIHML
1958,4_Factor,302.0,0.2745462270334905,0.2647758058487565,0.0007875403334177151,0.806762951419679,0.39563940888440374,9.737276074666703,-0.14927966881013302,-2.0948395841079015,-0.008451232890589242,-0.2153934210266017,0.021873415026498037,0.4296655522282285
1975,4_Factor,302.0,0.7984552354068837,0.795740827802936,-0.0014106502221841394,-1.0996546566150476,1.6305639615061973,30.53793128993592,0.31190576203995635,3.330713994400797,0.0811541722448731,1.5739359381149802,0.10449477720578884,1.5619688273554955
2010,4_Factor,302.0,0.758880891831333,0.755633496435122,-0.0006978492101892439,-0.4380236907651812,1.7636999229952295,26.596562109028284,-0.442834605088868,-3.8076281425851946,0.21617817943900028,3.37588067415592,0.22237105053376607,2.6764248810791704
3635,4_Factor,302.0,0.579880745370825,0.5742225735913076,-0.002206890566033012,-1.1147486498003552,1.3725433608628854,16.656625770859126,1.011049540622058,6.995931701011311,-0.33882106057950373,-4.258001183498892,0.18056685599629457,1.74894033977851
4642,4_Factor,302.0,0.7098961509059216,0.7059890283592001,-0.0021718376552450004,-1.3966966263334117,1.3975611767104308,21.592869071486373,0.5464189032076617,4.813682132764367,0.10838175200591389,1.7340839399254526,0.45621498802795096,5.625810204152976
5426,4_Factor,302.0,0.7920793623680451,0.78927908442014,-0.0007593515725218456,-0.6247762804593704,1.5723791493773929,31.08162461501733,-0.05617335447065109,-0.6331242725060058,0.03228759593180898,0.660931680685883,-0.03654042916899829,-0.5764957133632764
5805,4_Factor,302.0,0.7782319993500688,0.7752452249305412,-0.0026802138991325543,-1.9411494387610757,1.5197152574040251,26.443353909595803,0.7433793831696562,7.3752542381267405,0.16288239107998523,2.9349646523948283,0.25567417544202536,3.5507261743234495
5994,4_Factor,302.0,0.7539214383365048,0.7506072489538315,-0.0023565696361296405,-2.008278026586394,1.2590400522212297,25.777921870420627,0.5300189513675043,6.187453175055473,0.09521390907627746,2.0187529676879095,0.10089166481065487,1.6486924501476827
11419,4_Factor,302.0,0.5746821159722355,0.5689539289819626,-0.003015734787426425,-1.9416632118680115,0.9570408856463508,14.803896711474074,0.5160188412301463,4.551172363751446,0.27521127628557873,4.408452891229598,0.29338925582509634,3.6221444341686513
20947,4_Factor,302.0,0.754648068271821,0.7513436651509027,-0.0026485381265375593,-1.672289327765352,1.69244017435213,25.673395614116536,0.7078066853226112,6.122049225062328,0.20375665552659464,3.2007828836680323,0.07491774291946526,0.9070488471787204
32196,4_Factor,302.0,0.5934944213178823,0.588019598709369,0.002276756549156412,1.1238262206137712,1.258851699963339,14.928698084751048,-0.4240765198902645,-2.867502210241961,0.09714414380119474,1.1929944257622873,1.049430393223641,9.932921562143052
33251,4_Factor,62.0,0.7154559964581826,0.695487996209634,0.005241088978708143,0.9608172968430111,0.969186264531243,3.922680173390459,1.534864241813768,4.331350474610981,1.087028264289679,5.132668623177287,0.3509883404186524,1.3530170099965986
