date,id,symbol,EX_RETURN,log_return,SIZE_SCORE,MOMENTUM_SCORE,AMIHUD_SCORE,VOLATILITY_SCORE,DAILY_MOMENTUM,DAILY_AMIHUD,R_MKT
2025-07-11,11419,TON,0.03599115936496455,0.03599115936496455,7008362187.293642,-0.004723711999674819,9.6291407591356e-11,0.028193822505853637,0.00675985383011341,1.1650845170577106e-10,0.0446994376695484
2025-07-11,20947,SUI,0.12773999771366557,0.12773999771366557,10617383245.27706,-0.00358507343543932,3.5121214271076095e-11,0.05349655593827911,0.013256701693108414,4.140184893963642e-11,0.0446994376695484
2025-07-11,32196,HYPE,0.07102601357542011,0.07102601357542011,13633453368.32993,-0.0008718393431474807,8.52198641154729e-11,0.0446518454794724,0.008599629473128647,1.128001843072565e-10,0.0446994376695484
2025-07-12,1,BTC,0.013189621787529172,0.013189621787529172,2306991096410.1904,0.0033059121272658123,2.5750464964244206e-13,0.01706005456085002,0.013834863786732144,3.137785924289864e-13,0.015063046311095542
2025-07-12,2,LTC,-0.005857800461399119,-0.005857800461399119,7210666520.225674,0.0033139064575131625,4.648270232400463e-11,0.026350776382527353,0.01599133526815847,6.539798631330665e-11,0.015063046311095542
2025-07-12,52,XRP,0.07133977207408926,0.07133977207408926,150411077625.2546,0.005312923380333754,5.87051033251262e-12,0.028255909528714547,0.02757166298038974,7.511049766476456e-12,0.015063046311095542
2025-07-12,74,DOGE,0.03235219521831972,0.03235219521831972,29224891270.206573,0.00251887729076927,3.3180383656991475e-11,0.04173014225839937,0.03405834586655223,3.245294111131859e-11,0.015063046311095542
2025-07-12,512,XLM,0.17257108748676186,0.17257108748676186,9395870510.625937,0.004397267864284379,1.3948956883128915e-10,0.040526952096331,0.04793561696652149,1.433312057626042e-10,0.015063046311095542
2025-07-12,1027,ETH,0.002495489723306968,0.002495489723306968,356193627182.8013,0.003922106112019109,1.4783907661816716e-12,0.0353883632665969,0.03177340560702015,1.919225545847334e-12,0.015063046311095542
2025-07-12,1437,ZEC,-0.00033479590890845223,-0.00033479590890845223,704093594.0396827,-0.004880593916861638,4.20643640146614e-10,0.047935122459026584,0.013741702487450528,7.553851265892481e-10,0.015063046311095542
2025-07-12,1831,BCH,0.025419919372690846,0.025419919372690846,10312143955.358988,0.007063663022773998,3.612499291782846e-11,0.023356446861654886,0.01147371924165736,3.4359183251113375e-11,0.015063046311095542
2025-07-12,1839,BNB,0.006203155284970243,0.006203155284970243,95495142941.74773,0.0015737895737184722,6.174055441754803e-12,0.01497619376997618,0.008776478053190633,6.621626546953541e-12,0.015063046311095542
2025-07-12,1958,TRX,0.024011796115335007,0.024011796115335007,27844217027.18812,0.0027454998686685453,2.2258723594340562e-11,0.013259694242211678,0.007254747153775632,1.78744754085636e-11,0.015063046311095542
2025-07-12,1975,LINK,0.003741313776596971,0.003741313776596971,10334400341.633692,0.0029791468257833347,7.578907076472912e-11,0.03778686528992499,0.028297479318309348,9.252334310457744e-11,0.015063046311095542
2025-07-12,2010,ADA,0.048769111059733666,0.048769111059733666,23943505938.37628,0.0006965367523909859,4.3253886736843216e-11,0.04037183343262531,0.032227596661605566,5.058031219938278e-11,0.015063046311095542
2025-07-12,3635,CRO,0.06509174475266057,0.06509174475266057,3047242464.79313,0.0004220560371583472,6.322403821093628e-10,0.048696211652243075,0.037570741025862206,3.636136051620596e-10,0.015063046311095542
2025-07-12,4642,HBAR,0.020684338997241605,0.020684338997241605,8047771963.99863,0.005407943384408013,1.561003691511402e-10,0.049074534497976045,0.041524762487086496,1.7804581249554186e-10,0.015063046311095542
2025-07-12,5426,SOL,-0.0074690640863801444,-0.0074690640863801444,87912796057.58812,0.002566251273395169,6.3112334996037336e-12,0.036284684009843464,0.02114625363732352,6.63044867007176e-12,0.015063046311095542
2025-07-12,5805,AVAX,-0.00013198512138351974,-0.00013198512138351974,8737684654.58888,0.0005915190362399542,1.0527814770201226e-10,0.0418198093888612,0.02870058380697804,1.0886980009700061e-10,0.015063046311095542
2025-07-12,5994,SHIB,-0.0011344897328359423,-0.0011344897328359423,7847271203.41537,0.003002991995988341,1.92603552354415e-10,0.03774282219154603,0.029966475611308396,1.9565512043022954e-10,0.015063046311095542
2025-07-12,11419,TON,0.0061941069871688645,0.0061941069871688645,7265444089.210806,-0.0017912940566409904,1.1347114256387944e-10,0.0293669842237443,0.013733333445555296,1.2086190545664e-10,0.015063046311095542
2025-07-12,20947,SUI,-0.02974410544077975,-0.02974410544077975,12064081711.630133,0.0029079753003050006,4.0645717704562066e-11,0.05904582187314207,0.03703406543722727,5.5716234878855807e-11,0.015063046311095542
2025-07-12,32196,HYPE,0.054263990132838856,0.054263990132838856,14637000335.75064,0.0025953211581797564,1.0676517234263528e-10,0.03972048786675689,0.02278021057157342,1.270537048093751e-10,0.015063046311095542
